Reference, Value, Footprint,Manufacturer ID,Purchase link,Datasheet
SW_AB4,SW_SPDT,DailywellSwitches:Dailywell_SPDT,2MS3,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/,https://www.thonk.co.uk/wp-content/uploads/2017/05/DW2-SPDT-ON-OFF-ON-2MS3T1B1M2QES.pdf
SW_AB5,SW_SPDT,DailywellSwitches:Dailywell_SPDT,2MS3,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/,https://www.thonk.co.uk/wp-content/uploads/2017/05/DW2-SPDT-ON-OFF-ON-2MS3T1B1M2QES.pdf
SW_AB6,SW_SPDT,DailywellSwitches:Dailywell_SPDT,2MS3,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/,https://www.thonk.co.uk/wp-content/uploads/2017/05/DW2-SPDT-ON-OFF-ON-2MS3T1B1M2QES.pdf
SW_AB7,SW_SPDT,DailywellSwitches:Dailywell_SPDT,2MS3,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/,https://www.thonk.co.uk/wp-content/uploads/2017/05/DW2-SPDT-ON-OFF-ON-2MS3T1B1M2QES.pdf
SW_AB8,SW_SPDT,DailywellSwitches:Dailywell_SPDT,2MS3,https://www.thonk.co.uk/shop/sub-mini-toggle-switches/,https://www.thonk.co.uk/wp-content/uploads/2017/05/DW2-SPDT-ON-OFF-ON-2MS3T1B1M2QES.pdf
J_PWR1,EurorackPowerConnector_2x5Pin,Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm,,,
VR_ChanA_OAout_Rf1,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
VR_ChanB_OAout_Rf1,B50K,Bourn_PTL_Slider:Slider_PTL20_LED_35MM,RA2045F-20R-15LC-B50K-C,https://www.thonk.co.uk/shop/alpha-sliders/,
R_ChanB_OAout1,1K,Resistors_SMD:R_0805_HandSoldering,,,
R_ChanA_OAout1,1K,Resistors_SMD:R_0805_HandSoldering,,,
